id,created_at,retweet_count,text
843266018390687745,2017-03-19 01:01:00,1313,b'Trump and the rest of the Republican party are turning their backs on working and rural Americans and seniors.\nhttps://t.co/GnuE47zqi7'
843250416058077184,2017-03-18 23:59:00,2371,b'Our job is to stand together and say: we don\xe2\x80\x99t need to give tax breaks to billionaires. We need to invest in working people.'
843227515237883904,2017-03-18 22:28:00,1802,"b'For someone who talked about draining the swamp and standing up to Wall Street, Trump has a funny way of doing so.\nhttps://t.co/RLEAWSV3wv'"
843191410853625858,2017-03-18 20:04:32,6357,"b'Being involved in politics is not just about elections. It is fighting for racial, social, economic and environmental justice every day.'"
843126100083589121,2017-03-18 15:45:01,10316,"b""We are living in a nation which worships wealth rather than caring for the poor. I don't think that is the nation we should be living in."""
843098666156015616,2017-03-18 13:56:00,3290,b'The great political and democratic crisis we now face is not voter fraud. It is voter suppression.'
842896081503453184,2017-03-18 00:31:00,4066,"b'Amidst Trump\xe2\x80\x99s antics we must not lose sight of a progressive agenda focused on racial, social, environmental and economic justice.'"
842879472135102464,2017-03-17 23:25:00,3328,"b'For someone who talked about draining the swamp and standing up to Wall Street, Trump has a funny way of doing so. https://t.co/RLEAWSDs7V'"
842854557675806720,2017-03-17 21:46:00,7460,"b'Here\xe2\x80\x99s a radical idea. Let\xe2\x80\x99s make our economy work for all of us, not just the top 1%.'"
842816560096075778,2017-03-17 19:15:01,4672,b'We must guarantee health care as a right. People who can\xe2\x80\x99t afford care deserve to live as much as those who can.'
842782838701379584,2017-03-17 17:01:01,5293,"b'The GOP alternative to Obamacare is grotesque and ugly. You don\'t throw 24 million people off health care and call it ""health care reform.""'"
842772007762739200,2017-03-17 16:17:59,13279,b'The women of this country have the right to control their own bodies and get the health care they choose. No cuts to Planned Parenthood.'
842119505576878080,2017-03-15 21:05:10,664,"b""RT @PostOpinions: Donald Trump's tax plan would mean huge breaks for millionaires like Trump https://t.co/IKVPNjdNKV by @cgfaricy"""
841755720152420353,2017-03-14 20:59:37,1364,"b""RT @nowthisnews: 'Throwing millions of people off of healthcare is not healthcare legislation'\xe2\x80\x94 @BernieSanders, deep in the heart of Trump\xe2\x80\xa6"""
841717067678121985,2017-03-14 18:26:01,5037,"b'Our job is to provide health care for all people as a human right, not throw 24 million Americans off the health insurance that they have.'"
841687871971049472,2017-03-14 16:30:01,8709,"b'If Donald Trump and Paul Ryan\xe2\x80\x99s ""health care\xe2\x80\x9d plan is adopted, thousands of Americans will die. This bill is a disgrace.'"
841350881048199168,2017-03-13 18:10:56,1735,"b""RT @GuardianUS: 'Despair is not an option': Bernie Sanders's advice to young progressives in America https://t.co/3OEHx0DzcI"""
841290567132798976,2017-03-13 14:11:16,777,b'RT @MSNBC: Sen. Bernie Sanders joins Chris Hayes on a special @allinwithchris tonight at 8 p.m. ET. #AllInwithBernie https://t.co/wJqSsy7gi8'
841083540930461697,2017-03-13 00:28:37,2941,b'The @ACLU at this critical time is doing enormously important work. I congratulate them for stepping up to the chal\xe2\x80\xa6 https://t.co/d20HUJBXan'
841072315949555712,2017-03-12 23:44:01,10158,"b""The wealthy don't deserve health care more than anyone else. Everyone should be guaranteed health care regardless of their income."""
841049916113739780,2017-03-12 22:15:00,21980,"b""I've been criticized for this point, so allow me to repeat it: health care is a human right of all people, not a privilege."""
841007138491256834,2017-03-12 19:25:01,9252,"b""Remember: the U.S. is the only major country on earth that doesn't guarantee health care to all people. That's what we have to do."""
840985998393724928,2017-03-12 18:01:01,2365,"b'We spend far, far more per capita for our very dysfunctional health care system. Republicans want to make that worse.'"
840731797927403524,2017-03-12 01:10:55,9607,"b'The Republican ""substitute"" for Obamacare is not really health care legislation. Its primary purpose is to provide tax breaks to the rich.'"
840591504036970496,2017-03-11 15:53:26,552,b'Trump Should Avoid a Bad Zika Deal https://t.co/jzhp4093z3'
840228122683441152,2017-03-10 15:49:29,957,b'RT @brianschatz: No huge corporation operating in America should pay zero taxes. @BernieSanders and I introduced a bill to fix that. https:\xe2\x80\xa6'
839977965211516928,2017-03-09 23:15:27,775,"b""RT @CNNSitRoom: .@BernieSanders on Trump's wiretap claim: Just adds to the delusional statements we hear from the President  https://t.co/6\xe2\x80\xa6"""
839940734497263620,2017-03-09 20:47:31,4555,b'Because we have a rigged tax code that has essentially legalized tax dodging for large corporations. https://t.co/JNdu2VFovW'
839918220870049797,2017-03-09 19:18:03,240,b'RT @joshfoxfilm: Watch @BernieSanders and I on his FB page today! (And on mine). https://t.co/JzYcWuGQbV'
839587873582116866,2017-03-08 21:25:22,1111,b'RT @joshfoxfilm: Yes you heard right. Me. Bernie. Live. Tomorrow. Tune in. #banfrackingnow @BernieSanders @People4Bernie https://t.co/KFkBz\xe2\x80\xa6'
838876959773949953,2017-03-06 22:20:27,9990,"b""Trump\xe2\x80\x99s Muslim ban isn\xe2\x80\x99t about keeping us safe. A president intent on keeping us safe wouldn't give ideological ammunition to terrorists."""
838856397311856641,2017-03-06 20:58:44,15239,"b""Let\xe2\x80\x99s call Trump's travel ban what it is: A racist and anti-Islamic attempt to divide us up."""
838084894970560512,2017-03-04 17:53:04,2488,b'I am proud to stand with everyone today who is fighting for dignity on the job and the right to join a union at Nissan.'
838083993673293826,2017-03-04 17:49:29,579,"b""RT @UAW: Getting ready to #MarchOn for workers' rights at Nissan in Canton, MS with @BernieSanders and @mrdannyglover https://t.co/gS92oaaE\xe2\x80\xa6"""
837785404715728896,2017-03-03 22:03:00,420,b'RT @UAW: .@BernieSanders &amp; @DannyLGlover are telling Nissan to treat workers w/dignity. You can too! https://t.co/RswwC7yFcM #dobetternissa\xe2\x80\xa6'
837350657866809346,2017-03-02 17:15:28,13316,b'We need a Justice Department that will give us the facts about Russia\xe2\x80\x99s ties to the Trump campaign. Jeff Sessions should resign.'
837072527969017856,2017-03-01 22:50:17,13866,b'Thank you President Trump and Mr. Bannon for making our country less safe. https://t.co/uEDzDsyQQ2'
837000238338621443,2017-03-01 18:03:02,2465,"b""RT @nowthisnews: .@BernieSanders just had the ultimate response to President Trump's speech https://t.co/5HKIJF4Tm2"""
836700667087568897,2017-02-28 22:12:38,583,b'RT @SenatorCantwell: Today I cosponsored the Affordable and Safe Prescription Drug Importation Act with @RepJayapal  and @BernieSanders htt\xe2\x80\xa6'
836398558546964480,2017-02-28 02:12:10,3758,b'RT @CNNPolitics: Sen. Bernie Sanders on Trump\xe2\x80\x99s presidency: \xe2\x80\x9cI am stunned everyday\xe2\x80\x9d https://t.co/6OZtrfIwim https://t.co/iWXKkJYVrd'
836367511004278785,2017-02-28 00:08:48,9011,"b'Trump must speak against this senseless act, not just condemn violence when it fits his agenda of fear mongering. https://t.co/cTsLG5aTm4'"
836013984343957504,2017-02-27 00:44:00,3407,"b""If the Republicans in Congress won't do the right thing for workers, we must advance the progressive agenda state by state."""
835980013761662977,2017-02-26 22:29:01,8278,b'The attacks against transgender people are part of a bigotry which has got to end.'
835965164667056128,2017-02-26 21:30:01,6150,b'To Republicans I say: Do your job. Listen to your constituents. They do not want Obamacare repealed and to be thrown off their health care.'
835941254630236160,2017-02-26 19:55:00,6381,b'Americans should not have to pay the highest prices for prescription drugs simply because Congress is bought and paid for by Big Pharma.'
835938077931671553,2017-02-26 19:42:23,1614,b'More and more Americans are getting involved in the political process and are standing up and fighting back. https://t.co/i61Gz8yNoW'
835935464855121921,2017-02-26 19:32:00,474,"b'RT @KCStar: Progressive vision ""is the future of America,"" Bernie Sanders tells Kansas Democrats: https://t.co/Mn5zG11NIS https://t.co/pg8d\xe2\x80\xa6'"
835590909060317188,2017-02-25 20:42:51,3148,"b'The Democratic Party must make clear it will stand up to the 1% and lead in the fight for social, racial, economic and environmental justice'"
835590111471550464,2017-02-25 20:39:41,4039,"b""It's imperative Tom understands that the same-old, same-old isn't working and that we must bring in working and young people in a new way."""
835589406820036608,2017-02-25 20:36:53,4790,b'I congratulate Tom Perez on his election as chairman of the Democratic National Committee and look forward to working with him.'
835559737265643525,2017-02-25 18:38:59,312,b'RT @RightsVT: 100s packed in at todays #SaveHealthcare Rally in #Montpelier! @BernieSanders @People4Bernie @OurRevolution @VTdems @progpart\xe2\x80\xa6'
835209701457526784,2017-02-24 19:28:04,4993,"b'Now is the time for the American people to demand that the Congress listens to them, and not wealthy campaign contributors or lobbyists.'"
835172577345699840,2017-02-24 17:00:33,18043,"b""I believe you are entitled to justice and to equal rights, whether you're black, Hispanic, gay or transgender. You are a human being."""
834818062339756032,2017-02-23 17:31:50,1509,b'RT @MoveOn: .@SenSanders wants you to join him on Saturday to help save the Affordable Care Act. https://t.co/7RFvfff4xg https://t.co/Rl2iq\xe2\x80\xa6'
834807788828233729,2017-02-23 16:51:01,11703,b'One of the great and ongoing struggles of human existence has been the effort to overcome fear of people who are different than we are.'
834598970198470657,2017-02-23 03:01:15,894,b'RT @mrdannyglover: Why I support @keithellison for #DNCChair https://t.co/GQHpgL3q6J @EllisonCampaign'
834537505403736066,2017-02-22 22:57:00,8789,"b'How is it that there are people who have more luxuries than anyone can imagine, while children go hungry or die of preventable diseases?'"
834513106063745035,2017-02-22 21:20:03,6650,"b'It is time to understand that health care is a right, not a privilege. It is time to move toward a Medicare-for-all system.'"
834489899579539467,2017-02-22 19:47:50,316,"b'Ed Garvey will be sorely missed, but not forgotten. He was an inspiration to many of us. https://t.co/uj878F8JLK'"
834452100218236928,2017-02-22 17:17:38,723,"b""RT @WSJPolitics: How Bernie Sanders's followers are infiltrating and transforming the Democratic party: https://t.co/ipc8veVxcl"""
