id,created_at,text
843206263647408128,2017-03-18 21:03:33,b'RT @brianschatz: My mom was a volunteer with Meals on Wheels for years. The program deserves every penny it gets. This budget is a moral fa\xe2\x80\xa6'
843206212745289728,2017-03-18 21:03:21,"b""RT @brianschatz: GOP Budget Director says there's not enough data to justify feeding hungry children. And that's the difference between the\xe2\x80\xa6"""
843206013687803905,2017-03-18 21:02:34,b'RT @jonfavs: We need to put relentless pressure on these 27 between now and Thursday to save health care for 24 million. Share widely. http\xe2\x80\xa6'
843205874214608897,2017-03-18 21:02:01,"b""RT @jonlovett: Let's do this people. We can win this seat. https://t.co/kb5Pf7byfu"""
843203881802780672,2017-03-18 20:54:06,"b'Before you speak to me of your religion, first show it to me in how you treat other people:       https://t.co/qWITN5zeFJ'"
843176141804392448,2017-03-18 19:03:52,b'@sandiesmith12 Thank you'
843175981011484673,2017-03-18 19:03:13,b'Lift others. https://t.co/CjQ9LHvnpI'
843175839030099968,2017-03-18 19:02:40,b'@chrisf826 Thank you Christopher.'
843175027511984128,2017-03-18 18:59:26,"b'@pstark410 Thank you Paul, I am grateful for the kind and encouraging words.'"
843128337421619200,2017-03-18 15:53:54,b'Thank you. Love you too! https://t.co/eWmPOPbjxt'
843128073549627392,2017-03-18 15:52:51,b'@BrianH5262834 Thank you. All the best.'
843127635165118465,2017-03-18 15:51:07,b'@Brad_Nicholas_ Happy Birthday!'
843126559330390017,2017-03-18 15:46:50,"b'RT @cspan: (1/11/17) Tillerson says to @corybooker he wants to insure that the Secretary of State &amp; @statedept ""is fully transparent with t\xe2\x80\xa6'"
843126412512919556,2017-03-18 15:46:15,b'And I am sure you are gifted in many ways. Have a great weekend. May we both share and encounter abundant kindness\xe2\x80\xa6 https://t.co/48OBO7TnOA'
843125498842501121,2017-03-18 15:42:38,b'@hedrickchris @MTDems See you soon!'
843124874407170050,2017-03-18 15:40:09,b'Why not just come and enjoy a meal at one of our great restaurants? #EatUpDontBeatUp https://t.co/nUjJwZvNcO'
843111928775897088,2017-03-18 14:48:42,"b'RT @ChrisMurphyCT: This matters. As our image craters abroad, much harder to get allies to come to our aid when we need them. https://t.co/\xe2\x80\xa6'"
843097574525493248,2017-03-18 13:51:40,"b'RT @SenBookerOffice: By law, we keep 34,000 people locked up daily in immigration detention facilities to fill quota. Who benefits? Private\xe2\x80\xa6'"
842962696798576642,2017-03-18 04:55:43,b'RT @thehill: New Jersey passes bill forcing presidential candidates to release tax returns https://t.co/aGvjwmVct6 https://t.co/0I0A2ftmVl'
842949218155159552,2017-03-18 04:02:09,b'@KevinZegers Thank you so much for coming out tonight.'
842948878718590976,2017-03-18 04:00:48,b'@brynmooser @mkives Thank you for coming out tonight.'
842948392569389056,2017-03-18 03:58:52,"b""RT @protctdemocracy: We're making progress in the fight to protect democracy but there's a lot of work to do. Please follow along."""
842882860386148352,2017-03-17 23:38:28,"b""RT @emilycrockett: Dana Bash: What about 105 counties where PP is only option?\nTom Price: I'd like to see that list\nMe: Here you go!\n\nhttps\xe2\x80\xa6"""
842880120301862912,2017-03-17 23:27:35,"b'RT @JuddLegum: Epic rant by @jaketapper on Trump just now. \n\n""Embarrassment""\n\n""Outlandish claim""\n\n""Wild accusation"" https://t.co/ZNJdbeFJKo'"
842879054562844672,2017-03-17 23:23:21,"b""RT @EJDionne: #Trump Wiretap Watch: Day Thirteen.\nHe still hasn't offered any evidence.\nAnd it just gets worse and worse:\nhttps://t.co/JOOe\xe2\x80\xa6"""
842793130344640512,2017-03-17 17:41:55,"b'Can anyone answer Dave? Favorite lunch spots in Newark. For me: Andros Diner, Burger Walla, Green Chicpea, or Whole\xe2\x80\xa6 https://t.co/3Yvx9Wpfxt'"
842791461359763456,2017-03-17 17:35:17,b'Such a great spirit and intent. Can anyone from New Jersey offer insight here? https://t.co/L0Q1lkfpDI'
842760726217285632,2017-03-17 15:33:09,b'RT @CoryBooker: Love this: https://t.co/4H97kCp677'
842760478107492352,2017-03-17 15:32:10,b'RT @SenBookerOffice: .@CoryBooker re-introduces legislation to strengthen consumer protections against predatory debt collection: https://t\xe2\x80\xa6'
842760098925563904,2017-03-17 15:30:39,"b""@bruce_caruso I actually didn't. I did however write import legislation with Sanders and Casey. And thanks for being plant strong."""
842759370395992065,2017-03-17 15:27:46,b'@mattklapper @jeffgiertz'
