id,created_at,retweet_count,text
843121161663909888,2017-03-18 15:25:24,518,"b'""The deepest housing cuts since \'Reagan\'s cuts...ushered in a new age of homelessness.\'"" Awful. https://t.co/mBtr4ZwMCw'"
842815534588710913,2017-03-17 19:10:56,346,b'The Trump #budget shortchanges our children. https://t.co/q8Yq6XeNPe'
842762893959532545,2017-03-17 15:41:46,196,b'Irresponsible cuts to critical programs. @NEAarts and @NEHgov have helped fill big gaps in our early childhood ed.\xe2\x80\xa6 https://t.co/4mP3d0Uln6'
842729527147139074,2017-03-17 13:29:11,540,b'How can you cut nutrition assistance for women and kids? Heartless to let any person\xe2\x80\x94any kid\xe2\x80\x94go hungry in America. https://t.co/kvl9gwKAN9'
842707709619306496,2017-03-17 12:02:29,13152,"b""RT @NYPDONeill: Under @POTUS budget, virtually all fed funding to #NYPD eradicated. Entire counterterrorism apparatus in nation's top terro\xe2\x80\xa6"""
842492557116555278,2017-03-16 21:47:33,722,b'Throwing 24 million people off of coverage is wrong. Charging seniors more for their care is wrong. Defunding @PPFA is wrong. #Trumpcare'
842436955682004992,2017-03-16 18:06:36,466,"b"".@POTUS's budget makes drastic cuts that'll shortchange middle class New Yorkers, seniors, and students\xe2\x80\x94all while h\xe2\x80\xa6 https://t.co/VkTsoUFNZA"""
842384399018663937,2017-03-16 14:37:46,147,b'Military leaders must hold people accountable in the Marine photo scandal. I spoke with @mitchellreports about it. https://t.co/6GxWxdLs7k'
842153930880618496,2017-03-15 23:21:58,728,"b""The President's travel ban is wrong and goes against everything we value as a country\xe2\x80\x94glad courts have ruled agains\xe2\x80\xa6 https://t.co/rLrxrzyGk0"""
842100024842584068,2017-03-15 19:47:46,127,"b""Our commanders are falling short on maintaining good order and discipline in our armed forces. Where's the accountability?"""
842099786492870663,2017-03-15 19:46:49,195,b'More evidence of a toxic climate for our female service members. https://t.co/As0XmcI8Oc'
842020072713478144,2017-03-15 14:30:03,618,"b""We are the only industrialized country on earth that doesn't guarantee its workers some sort of paid leave. It's ti\xe2\x80\xa6 https://t.co/wafqO0aQVe"""
841802006213869568,2017-03-15 00:03:32,134,b'Our college graduates need to be able to refinance their debt in the same way that our businesses and homeowners do.'
841801759228076032,2017-03-15 00:02:33,184,"b'When we price young people out of a college education, we all pay a price. https://t.co/lmgLT3JT6m'"
841782175959810052,2017-03-14 22:44:44,308,"b'Today, we called on @POTUS to support our #FAMILYAct. American workers deserve affordable, comprehensive #paidleave. https://t.co/YPqgow9Ecx'"
841706223212859393,2017-03-14 17:42:56,210,"b""It's a serious problem when members of our military denigrate female Marines. It undermines good order and discipline. We have to fix it."""
841704422115803136,2017-03-14 17:35:47,1685,b'Military leadership must take responsibility for a toxic culture that fosters harassment and sexual assault. https://t.co/nTPrLPwY7d'
841640249767931906,2017-03-14 13:20:47,179,"b""Let's keep our communities safe from gun violence and keep gun silencers out of the hands of criminals. I hope you'll speak out on this."""
841639174826557444,2017-03-14 13:16:30,145,"b""How can we end violence in our communities if criminals can get easy access to equipment that'd make it hard for police to solve gun crimes?"""
841638474574884864,2017-03-14 13:13:43,136,"b""When someone gets shot by a gun with a silencer, it's quiet. Witnesses might not hear. Police will be less likely to track down the shooter."""
841638244269883392,2017-03-14 13:12:48,117,"b""Can you imagine if we allowed a criminal with a gun in New York City to attach a silencer to their weapon? It'd be a dangerous mistake."""
841638041156501504,2017-03-14 13:12:00,728,"b""I'm fighting back against bills (backed by the Trump admin) that'd make it easy for criminals to buy gun silencers. https://t.co/m1uFZNOBYI"""
