id,created_at,text
842502292356128769,2017-03-16 22:26:14,b'We had terrific office hours in Worcester this afternoon. I\xe2\x80\x99m very glad so many people joined us to ask questions &amp;\xe2\x80\xa6 https://t.co/m0geFhUFyG'
842171012879941633,2017-03-16 00:29:50,"b'.@realDonaldTrump, your Muslim ban is now 0 for 2 vs the Constitution. Stop fighting the rule of law and start fighting for all Americans.'"
842170731513450496,2017-03-16 00:28:43,"b"".@realDonaldTrump's illegal Muslim ban is still a recruiting tool for ISIS. Still a betrayal of our values. Still doesn't keep us safe."""
842170477309263872,2017-03-16 00:27:43,"b""Turns out, an illegal Muslim ban by another name is still an illegal Muslim ban. So the courts just blocked @realDonaldTrump's second one."""
842152346117373952,2017-03-15 23:15:40,b'Now is the time to speak out about the importance of the ACA &amp; Medicaid to your family &amp; stop this cruel #Trumpcare bill in its tracks.'
842152072174817280,2017-03-15 23:14:35,"b'Today I told the Senate: If #Trumpcare passes, people will lose access to opioid recovery services. People will die. https://t.co/6x34DLVk61'"
842151812358627330,2017-03-15 23:13:33,b'Gutting the ACA with #Trumpcare is like shoving a stick of dynamite in this country\xe2\x80\x99s opioid treatment gap &amp; lighting the fuse.'
842151531097006080,2017-03-15 23:12:26,b'Consider what #Trumpcare will do to families &amp; communities struggling with the opioid crisis. We already have an opioid treatment gap.'
842151253048217601,2017-03-15 23:11:19,"b""There's no other way to say it: #Trumpcare is just part of a GOP plan to help the rich get richer &amp; kick dirt in everyone else's face."""
842150918510530561,2017-03-15 23:10:00,b'Who thinks the central problem in America is that middle class families have too much health care &amp; rich people need more gov handouts?'
842150663379423232,2017-03-15 23:08:59,b'What kind of health care bill has as its central feature ripping insurance away from tens of millions of American citizens?'
842112688713015296,2017-03-15 20:38:05,b'About to speak about the devastating impact that #Trumpcare will have on fighting the opioid crisis in MA. Watch: https://t.co/sHhsGuB8B5'
841798254622826497,2017-03-14 23:48:38,b'Tune in tonight! #inners https://t.co/dpFdC0QoyL'
