id,created_at,retweet_count,text
843221338730979330,2017-03-18 22:03:28,60,b'#OnWisconsin! https://t.co/TlX7IRMSPc'
843191082670215169,2017-03-18 20:03:14,124,"b'The system is collapsing. Because of #Obamacare, people are being left with little or no choice in their health car\xe2\x80\xa6 https://t.co/iotXnr6Uyr'"
843186075854168066,2017-03-18 19:43:20,83,"b'RT @FoxNews: TOMORROW on @FoxNewsSunday, Chris Wallace has an exclusive one-on-one with @SpeakerRyan - Tune in at 2p &amp; 10p ET on Fox News!\xe2\x80\xa6'"
843172716089917445,2017-03-18 18:50:15,85,"b""This is the moment. This process is the closest we'll ever get to repealing and replacing #Obamacare. https://t.co/OvijAnzxDN"""
843142844533686274,2017-03-18 16:51:33,180,b'FACT \xe2\x86\x92 The American Health Care Act prevents federal tax credits from being used for plans that pay for abortions. https://t.co/LqTAzscnZw'
843133747872579584,2017-03-18 16:15:24,64,"b'As I explained to @EndaKennyTD, Americans generally regard the Green Bay @Packers as the greatest football team in\xe2\x80\xa6 https://t.co/8KRd26CoWG'"
843112421367709696,2017-03-18 14:50:40,118,b'We\xe2\x80\x94as a country\xe2\x80\x94have a very small window of opportunity to #RepealANDReplace #Obamacare with common-sense reforms. https://t.co/bo5BK6G5Cj'
843104489716531203,2017-03-18 14:19:09,61,b'RT @RepKevinBrady: My bill is off to @POTUS for \xf0\x9f\x96\x8c. This bill empowers our states to help fully qualified workers get back to work #HJRes42\xe2\x80\xa6'
843086207336833024,2017-03-18 13:06:30,139,"b'Instead of having a government one-size-fits-all mandate system, our legislation creates more competition and more\xe2\x80\xa6 https://t.co/pAPqyQyzhi'"
842881228449726464,2017-03-17 23:31:59,178,b'The annual #FriendsOfIreland tradition is one of my favorites. What an honor to welcome @POTUS and @VP to the Capit\xe2\x80\xa6 https://t.co/nrFymA9Wis'
842870201616097281,2017-03-17 22:48:10,66,b'RT @HouseGOP: Check out 8 need-to-know facts about #AHCA. #PassTheBill\n\nhttps://t.co/6kvekDXJLF'
842865150839406592,2017-03-17 22:28:06,173,"b'RT @WaysandMeansGOP: ""Action on #Obamacare is an urgent necessity."" -@POTUS https://t.co/VTR7GIUj5z'"
842857184560119808,2017-03-17 21:56:26,129,"b'RT @HouseCommerce: Please not another year of ""The craziest thing in the world"" #RepealAndReplace #AHCA https://t.co/KtiC96jD92'"
842850237181968384,2017-03-17 21:28:50,40,"b'RT @WaysandMeansGOP: Our #BetterWay tax reform delivers a tax code built for the growth of families\xe2\x80\x99 paychecks, American businesses, and ou\xe2\x80\xa6'"
842845381159518208,2017-03-17 21:09:32,48,b'RT @KenCalvert: @SpeakerRyan \xe2\x80\x9c7 years of Obamacare is enough\xe2\x80\x9d https://t.co/eHowfM8sGU #RepealandReplace'
842841193864187904,2017-03-17 20:52:54,130,b'RT @HouseCommerce: See it BEFORE we pass it &gt;&gt; https://t.co/6LDqkCEMTB #BetterWay #AHCA\nhttps://t.co/KtiC96jD92'
842836963698851843,2017-03-17 20:36:05,59,"b'RT @MikeKellyPA: After 7 disastrous years of #Obamacare, a new era for health care will soon begin. Watch what led us to this point: https:\xe2\x80\xa6'"
842835973646045185,2017-03-17 20:32:09,27,"b""RT @RepJasonLewis: Thanks to CNN's @JohnBerman for chatting GOP health care reform today. @housebudgetGOP #passthebill #MN02 https://t.co/n\xe2\x80\xa6"""
842830036780699648,2017-03-17 20:08:34,109,b'Here are 5 photos that will help put you in the Irish spirit this #StPatricksDay. https://t.co/MpMPblgMbl'
842808673999241216,2017-03-17 18:43:41,204,b'GREAT NEWS \xe2\x86\x92 The largest and oldest #ProLife group in the US just endorsed our bill to #repealANDreplace Obamacare.\xe2\x80\xa6 https://t.co/6nqn6ij6qR'
842798500773543937,2017-03-17 18:03:15,108,b'Happy #StPatricksDay! https://t.co/wA3mXPyZSj'
842791980421779456,2017-03-17 17:37:21,144,b'Proud to support our #DesertStorm and #DesertShield veterans with a memorial to honor their service. Next stop \xe2\x86\x92 Th\xe2\x80\xa6 https://t.co/6JdslUdMqi'
842791487943393282,2017-03-17 17:35:23,137,b'RT @RodneyDavis: Why the #AHCA is must-pass legislation \xe2\x80\x94&gt; https://t.co/l1KWcIP3HK'
842786956379480064,2017-03-17 17:17:23,72,b'.@HouseGOP is in sync with @POTUS and the administration on the #RepealAndReplace of #Obamacare. #NRISummit17 https://t.co/Mbk2JmmLuf'
842782799916544002,2017-03-17 17:00:52,108,b'We\xe2\x80\x99re on the cusp of doing something we\xe2\x80\x99ve long believed in: major entitlement reform. #NRISummit17 https://t.co/BFCQQRqXaa'
