id,created_at,retweet_count,text
822446982648201216,2017-01-20 14:13:35,343503,"b""I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe in you."""
822446334787600385,2017-01-20 14:11:01,58034,"b'As we look forward, I want our first steps to reflect what matters most to you. Share your thoughts with me at https://t.co/fGUxlpLVue.'"
822446040729157632,2017-01-20 14:09:51,221973,"b""I won't stop; I'll be right there with you as a citizen, inspired by your voices of truth and justice, good humor, and love."""
822445882247413761,2017-01-20 14:09:13,643925,"b""It's been the honor of my life to serve you. You made me a better leader and a better man."""
822181779217981441,2017-01-19 20:39:46,70008,"b'Proud to make this one of my final actions as President. America is a nation of second chances, and 1,715 people de\xe2\x80\xa6 https://t.co/vZLJa9SweM'"
821879923602325504,2017-01-19 00:40:18,375823,"b'RT @FLOTUS: Being your First Lady has been the honor of a lifetime. From the bottom of my heart, thank you. -mo https://t.co/pahEydkZ5Z'"
821371347012087808,2017-01-17 14:59:24,362006,"b""To the girl from the South Side who took on a role she didn't ask for and made it her own: Happy Birthday, Michelle\xe2\x80\xa6 https://t.co/cFWec1RQN0"""
821147626422800386,2017-01-17 00:10:24,16943,"b'From one 44 to another, thanks for finally giving @FLOTUS and generations of hopeful fans a @Cubs championship. https://t.co/RnLyTYF2ub'"
821082223910780928,2017-01-16 19:50:31,11693,"b'In honor of their legacy, @FLOTUS and I are joining Americans across the country in a day of service to our community here in D.C. #MLKDay'"
821081947728412672,2017-01-16 19:49:25,71355,"b'Dr. King and those who marched with him proved that people who love their country can change it. As Americans, we all owe them a great deal.'"
819694728665006080,2017-01-12 23:57:07,47166,"b'That is out of this world. Thanks, @NASA. https://t.co/R8CSjAwt2E'"
819044196371800065,2017-01-11 04:52:08,889996,"b""Thank you for everything. My last ask is the same as my first. I'm asking you to believe\xe2\x80\x94not in my ability to create change, but in yours."""
815603723707658241,2017-01-01 17:00:55,271132,b'It\xe2\x80\x99s been the privilege of my life to serve as your President. I look forward to standing with you as a citizen. Happy New Year everybody.'
815603416089194496,2017-01-01 16:59:42,55701,"b""From realizing marriage equality to removing barriers to opportunity, we've made history in our work to reaffirm that all are created equal."""
815601969154899969,2017-01-01 16:53:57,18663,b'We brought home more of our troops &amp; strengthened U.S. leadership\xe2\x80\x94leading with diplomacy &amp; partnering with nations to meet global problems.'
815601640124387328,2017-01-01 16:52:38,19955,"b'We traded foreign oil for clean energy, we doubled fuel efficiency standards, &amp; we acted on a global scale to save\xe2\x80\xa6 https://t.co/U2n4myQUkV'"
815601279716225024,2017-01-01 16:51:12,18101,"b'After decades of rising health care costs, today nearly every American now has access to the financial security of\xe2\x80\xa6 https://t.co/P9VEPIE3Ab'"
815600798558208001,2017-01-01 16:49:18,27221,"b'Facing the worst financial crisis in 80 years, you delivered the longest streak of job growth in our history. https://t.co/Vk3PfRgZqF'"
815600521688055808,2017-01-01 16:48:12,52431,"b'As we look ahead to the future, I wanted to take a moment to look back on the remarkable progress that you made possible these past 8 years.'"
813059340013895680,2016-12-25 16:30:27,111285,"b'The best part of the holidays is the time we share with those we love. On behalf of Michelle, Malia, and Sasha, Mer\xe2\x80\xa6 https://t.co/AOai9bJYlg'"
811329368408621056,2016-12-20 21:56:09,27849,b'A ban on drilling in Arctic waters helps protect the planet we share. Proud to take this step with @JustinTrudeau &amp;\xe2\x80\xa6 https://t.co/cDbN6inXRy'
809899303321866240,2016-12-16 23:13:35,6743,"b'The Justice for All bill is a bipartisan step in making our criminal justice system fairer, smarter, and more effective. Proud to sign it.'"
809805411129946115,2016-12-16 17:00:30,11619,"b""The suits said it all \xe2\x80\x93 colorful, fun, a little outlandish. That\xe2\x80\x99s what sports should be. Thanks, Craig Sager.  We'll all miss you."""
808807755456937984,2016-12-13 22:56:10,11587,"b""In signing the Cures Act into law, we're one step closer to breakthroughs on the greatest health challenges of our\xe2\x80\xa6 https://t.co/LhyahsK0sJ"""
