id,created_at,text
841694534438395909,2017-03-14 16:56:29,"b'This will be a defining moment for our country, as we begin to forge a new relationship with Europe &amp; a new role fo\xe2\x80\xa6 https://t.co/WZ4Ux6R5ZH'"
839089759796486144,2017-03-07 12:26:02,b'My mission is to increase the capacity &amp; diversity of our school system so that every child gets a good school place https://t.co/c0TjYOc8LA'
837649851785621505,2017-03-03 13:04:22,b'The SNP play politics as though it were a game. But politics is not a game and Scotland is too important to be negl\xe2\x80\xa6 https://t.co/clTyb0SRTn'
836965872698818561,2017-03-01 15:46:28,b'I was thrilled to welcome our new MP Trudy Harrison to Parliament today. She will be a strong voice for Copeland. https://t.co/cIHeAS9xQo'
834959840460029952,2017-02-24 02:55:13,b'RT @Conservatives: Welcome to Trudy Harrison: Copeland\xe2\x80\x99s first Conservative MP since 1935! https://t.co/nvkkeVK5lW'
824971490324049926,2017-01-27 13:25:05,"b'We have the opportunity, indeed the responsibility, to renew the special relationship for this new age. https://t.co/vvOMAtPyvZ'"
821472331436593153,2017-01-17 21:40:40,"b'I want this United Kingdom to emerge from this period of change stronger, fairer, more united and more outward-look\xe2\x80\xa6 https://t.co/PRbt7ZxOUg'"
818486424047497216,2017-01-09 15:55:44,b'I want us to employ the power of government as a force for good to transform the way we deal with mental health pro\xe2\x80\xa6 https://t.co/eKICX1wi8O'
818069541683138560,2017-01-08 12:19:12,b'We will seize the opportunity to build the shared society by embracing genuine and wide-ranging social reform. https://t.co/PlcSfXYLin'
817080111547695105,2017-01-05 18:47:33,"b""On the 350th anniversary of Guru Gobind Singh's birth, I'd like to wish all Sikhs celebrating a very blessed and happy Gurpurab."""
815318206558543873,2016-12-31 22:06:22,"b'Let me wish you and your family a peaceful, prosperous and happy New Year. https://t.co/C5rhOlvt0H'"
812604005247549440,2016-12-24 10:21:06,"b'Wherever you are this Christmas, I wish you joy and peace in this season of celebration: https://t.co/UpJnxMajsW'"
812355741839425537,2016-12-23 17:54:36,"b'I want to wish everyone celebrating in the UK and around the world a happy, peaceful #Chanukah. Chanukah Sameach!'"
811253462688219137,2016-12-20 16:54:32,b'The vivid images from Berlin &amp; Ankara have shocked us all. Our condolences are with all those who mourn and all who have been affected.'
804406792310530049,2016-12-01 19:28:19,b'I am proud to wear a red ribbon on #WorldAidsDay to show my support for people living with HIV. https://t.co/wbFNjy4KVx'
804285781993017344,2016-12-01 11:27:27,"b'We will create jobs, fund public services &amp; build a country that works for everyone. Labour will borrow \xc2\xa3500 billio\xe2\x80\xa6 https://t.co/TzaQ0l64zc'"
804007104134582272,2016-11-30 17:00:06,b'The United Kingdom takes pride in Scotland\xe2\x80\x99s success. I wish everyone in the UK and across the world a very happy\xe2\x80\xa6 https://t.co/rQdtnSBvCK'
800753958469959680,2016-11-21 17:33:15,b'\xe2\x80\x9cWe will do everything possible to make the UK outside the EU the most attractive place for businesses to grow and\xe2\x80\xa6 https://t.co/4CqbKeNDSW'
800642413714935808,2016-11-21 10:10:01,b'The new role for business in a fairer Britain: https://t.co/XCYjuFi1ol #cbi2016'
798557166584020992,2016-11-15 16:03:59,"b'""By meeting this national moment with a truly national effort, we unite our country by making the UK a country that\xe2\x80\xa6 https://t.co/Xo20H9Imhw'"
796295240995012609,2016-11-09 10:15:54,b'I would like to congratulate Donald Trump on being elected the next President of the United States. Full statement: https://t.co/7W2feuodUE'
793381607638007808,2016-11-01 09:18:10,b'A pleasure to meet two of the many veterans who have made such sacrifices to keep us safe. @PoppyLegion does fantas\xe2\x80\xa6 https://t.co/ZrCSpKoJU8'
792841639593140224,2016-10-30 21:32:31,b'I send my very best wishes to everyone celebrating #Diwali and Bandi Chhor Diwas. https://t.co/N7Il7Tys6u'
786224270519050242,2016-10-12 15:17:28,b'We are listening to the British people and delivering on that result. https://t.co/sLIcyDzxCu'
783713338698018816,2016-10-05 16:59:55,b'My vision for a country that works for everyone. https://t.co/uuUh4CirbY'
783619366806061056,2016-10-05 10:46:30,"b""WATCH LIVE: The PM's speech to #CPC16 https://t.co/oPgL1fE2NO"""
782660601285926912,2016-10-02 19:16:43,b'I want to be absolutely clear. There will be no unnecessary delays in invoking Article 50. https://t.co/xSmfzhiGTn'
782538026950033408,2016-10-02 11:09:39,b'The PM announced this morning that #Article50 will be triggered by the end of March 2017. #CPC16 https://t.co/0MPaoL5Nqt'
782490351345004544,2016-10-02 08:00:12,b'The PM is live on @MarrShow as #CPC16 begins in Birmingham.'
780354548477071360,2016-09-26 10:33:17,"b'I want the message to go out, from Bude to Bute: we are on your side, and we are delivering for you. https://t.co/Kba4FMQLeH'"
778604145049673728,2016-09-21 14:37:48,b'The challenge for us is to ensure that our governments and global institutions...remain responsive to the people we\xe2\x80\xa6 https://t.co/mNlV30McQo'
775353530811023361,2016-09-12 15:21:01,b'I was proud to serve in David Cameron\xe2\x80\x99s Government \xe2\x80\x93 under his leadership we achieved great things. I wish him well: https://t.co/yfDLsyLdsr'
775297920379781121,2016-09-12 11:40:03,"b'To all Muslims, in this country &amp; around the world, I want to say Eid Mubarak. I wish you a happy &amp; peaceful Eid. https://t.co/kHpwVR3P0e'"
774199655164964864,2016-09-09 10:55:56,b'I want Britain to be the world\xe2\x80\x99s great meritocracy: https://t.co/bziRdtC7Vn https://t.co/EfiJrNrzG1'
773833821246611456,2016-09-08 10:42:14,"b""I wish our @ParalympicsGB athletes every success &amp; I say to the whole UK: Let's cheer them on to glory in Rio https://t.co/CWoagF6ZNn"""
773568345857724417,2016-09-07 17:07:20,b'There is only one party that is going to provide a country that works for everyone and that\xe2\x80\x99s the Conservative Party https://t.co/BtcuMQ8VfI'
762997583992066049,2016-08-09 13:02:54,"b'On behalf of the whole country, I want to wish @TeamGB every success for this summer\xe2\x80\x99s Olympic Games in Rio.\nhttps://t.co/ZAsnpu4QQ1'"
759649054779408384,2016-07-31 07:17:02,b'We will lead the way in defeating modern slavery: https://t.co/QeEn6CYYhy'
756061619734482944,2016-07-21 09:41:51,b'https://t.co/JrydKQWJG0'
753905203938783232,2016-07-15 10:53:02,b'I am shocked and saddened by the horrifying attack in Nice last night. Our hearts go out to the French people: https://t.co/xd0arcO72R'
753291013871972352,2016-07-13 18:12:27,b'We will make Britain a country that works not for a privileged few but for every one of us.\nhttps://t.co/4pEvp4Ga9h'
752897385811017728,2016-07-12 16:08:19,"b'Rob Semple, Chairman of the National Convention, welcomes Theresa back to Conservative Campaign HQ as Party Leader https://t.co/rTefCuzu0J'"
752555718914478081,2016-07-11 17:30:39,"b""'Together, we will build a better Britain' - watch Theresa's speech after being chosen as @Conservatives leader: https://t.co/MIUIqRVSoM"""
752451133268910080,2016-07-11 10:35:04,b'TM: \xe2\x80\x9cWe must leave the European Union \xe2\x80\x93 and forge a new role for ourselves in the world.\xe2\x80\x9d #TM4PM https://t.co/qEtjxJxBo4'
752450647786598401,2016-07-11 10:33:08,"b'TM: \xe2\x80\x9cIt has been our strength as a Party that at moments of great national change, we have understood what needed to be done.\xe2\x80\x9d #TM4PM'"
752450202385080324,2016-07-11 10:31:22,"b'TM:\xe2\x80\x9cThis is a different kind of Conservatism but it is consistent with our principles. We don\xe2\x80\x99t just believe in markets, but in communities\xe2\x80\x9d'"
752448591596138496,2016-07-11 10:24:58,"b'TM: \xe2\x80\x9cAs Prime Minister, I will crack down on individual and corporate tax avoidance and tax evasion.\xe2\x80\x9d #TM4PM'"
752448285692928000,2016-07-11 10:23:45,"b'TM: \xe2\x80\x9cIt doesn\xe2\x80\x99t matter to me whether you\xe2\x80\x99re Amazon, Google or Starbucks, you have a responsibility to pay your taxes.\xe2\x80\x9d #TM4PM'"
752446941200392192,2016-07-11 10:18:25,"b'TM: \xe2\x80\x9cIf we want to increase our overall prosperity, we have to improve the productivity of our economy.\xe2\x80\x9d #TM4PM'"
752446542296915968,2016-07-11 10:16:50,"b'TM: \xe2\x80\x9cThe country voted to leave the EU, and as Prime Minister I will make sure we leave the EU\xe2\x80\x9d #TM4PM https://t.co/msvZCRTosq'"
752445449940840448,2016-07-11 10:12:29,b'TM: \xe2\x80\x9cThere is a gaping chasm between wealthy London and the rest of the country.\xe2\x80\x9d #TM4PM'
752444806056456192,2016-07-11 10:09:56,"b""TM: \xe2\x80\x9cBrexit means Brexit, and we're going to make a success of it.\xe2\x80\x9d #TM4PM"""
752444486811197440,2016-07-11 10:08:40,b'LIVE NOW: Theresa is in Birmingham to launch her national campaign to make Britain a country that works for everyone https://t.co/x5qTl2HnHr'
752394526707290112,2016-07-11 06:50:08,b'Seven recent Presidents of the National Conservative Convention write to the @Telegraph backing @TheresaMay2016: https://t.co/sM4la3LM3J'
752384763860779008,2016-07-11 06:11:20,b'RT @montie: Clear affirmation that #Brexit will happen under her PMship from @TheresaMay2016 in @TheSun https://t.co/bx0BW62x4X https://t.c\xe2\x80\xa6'
752185189879517184,2016-07-10 16:58:18,b'Congratulations to @andy_murray and @LewisHamilton on your victories today: two more reasons to be proud to be British #Wimbledon #BritishGP'
752094196232839168,2016-07-10 10:56:44,b'\xe2\x80\x98We have to seize the chance to get out into the world and help British firms to do business all around the globe\xe2\x80\x99: https://t.co/6SGcV5g4sW'
752073821860073473,2016-07-10 09:35:46,"b'\xe2\x80\x99There must be no attempts to remain inside the EU, no attempts to rejoin it by the back door and no 2nd referendum\xe2\x80\x99 https://t.co/6SGcV5g4sW'"
752059689014272000,2016-07-10 08:39:37,b'\xe2\x80\x98Mrs May has exactly the right qualifications to be prime minister\xe2\x80\x99 \xe2\x80\x93 the Sunday @Telegraph backs @TheresaMay2016: https://t.co/TFZnnrxDsq'
751865941760339968,2016-07-09 19:49:44,"b'RT @Metcalfe_SBET: After the #EUref need strong, proven leadership \xe2\x80\x93 to steer us through this period of uncertainty &amp; negotiate best deal a\xe2\x80\xa6'"
751865747266297856,2016-07-09 19:48:57,"b'RT @JamesCleverly: . @TheresaMay2016 will deliver Brexit, once done we still have a country to govern &amp; her experience is what we need\xc2\xa0http\xe2\x80\xa6'"
